"year","canton","sex","marital_status","population"
2020,"St. Gallen","Male","Widowed, partnership dissolved through death",4854
2020,"St. Gallen","Male","Divorced, unmarried, partnership dissolved legally",18464
2020,"St. Gallen","Female","Single",102464
2020,"St. Gallen","Female","Married, in a registered partnership",110204
2020,"St. Gallen","Female","Widowed, partnership dissolved through death",19385
2020,"St. Gallen","Female","Divorced, unmarried, partnership dissolved legally",24322
2020,"Graubünden / Grigioni / Grischun","Male","Single",45818
2020,"Graubünden / Grigioni / Grischun","Male","Married, in a registered partnership",44622
2020,"Graubünden / Grigioni / Grischun","Male","Widowed, partnership dissolved through death",2212
2020,"Graubünden / Grigioni / Grischun","Male","Divorced, unmarried, partnership dissolved legally",7633
2020,"Graubünden / Grigioni / Grischun","Female","Single",39339
2020,"Graubünden / Grigioni / Grischun","Female","Married, in a registered partnership",42768
2020,"Graubünden / Grigioni / Grischun","Female","Widowed, partnership dissolved through death",8507
2020,"Graubünden / Grigioni / Grischun","Female","Divorced, unmarried, partnership dissolved legally",9190
2020,"Aargau","Male","Single",161379
2020,"Aargau","Male","Married, in a registered partnership",155888
2020,"Aargau","Male","Widowed, partnership dissolved through death",6486
2020,"Aargau","Male","Divorced, unmarried, partnership dissolved legally",25034
2020,"Aargau","Female","Single",136635
2020,"Aargau","Female","Married, in a registered partnership",152032
2020,"Aargau","Female","Widowed, partnership dissolved through death",24198
2020,"Aargau","Female","Divorced, unmarried, partnership dissolved legally",32370
2020,"Thurgau","Male","Single",65444
2020,"Thurgau","Male","Married, in a registered partnership",63412
2020,"Thurgau","Male","Widowed, partnership dissolved through death",2619
2020,"Thurgau","Male","Divorced, unmarried, partnership dissolved legally",11047
2020,"Thurgau","Female","Single",54921
2020,"Thurgau","Female","Married, in a registered partnership",61806
2020,"Thurgau","Female","Widowed, partnership dissolved through death",10011
2020,"Thurgau","Female","Divorced, unmarried, partnership dissolved legally",13640
2020,"Ticino","Male","Single",78888
2020,"Ticino","Male","Married, in a registered partnership",75190
2020,"Ticino","Male","Widowed, partnership dissolved through death",3833
2020,"Ticino","Male","Divorced, unmarried, partnership dissolved legally",12916
2020,"Ticino","Female","Single",70895
2020,"Ticino","Female","Married, in a registered partnership",73309
2020,"Ticino","Female","Widowed, partnership dissolved through death",17412
2020,"Ticino","Female","Divorced, unmarried, partnership dissolved legally",18536
2020,"Vaud","Male","Single",204181
2020,"Vaud","Male","Married, in a registered partnership",160135
2020,"Vaud","Male","Widowed, partnership dissolved through death",6236
2020,"Vaud","Male","Divorced, unmarried, partnership dissolved legally",29610
2020,"Vaud","Female","Single",186275
2020,"Vaud","Female","Married, in a registered partnership",157399
2020,"Vaud","Female","Widowed, partnership dissolved through death",27678
2020,"Vaud","Female","Divorced, unmarried, partnership dissolved legally",43157
2020,"Valais / Wallis","Male","Single",80177
2020,"Valais / Wallis","Male","Married, in a registered partnership",75186
2020,"Valais / Wallis","Male","Widowed, partnership dissolved through death",3571
2020,"Valais / Wallis","Male","Divorced, unmarried, partnership dissolved legally",14000
2020,"Valais / Wallis","Female","Single",70604
2020,"Valais / Wallis","Female","Married, in a registered partnership",73133
2020,"Valais / Wallis","Female","Widowed, partnership dissolved through death",14884
2020,"Valais / Wallis","Female","Divorced, unmarried, partnership dissolved legally",16907
2020,"Neuchâtel","Male","Single",42420
2020,"Neuchâtel","Male","Married, in a registered partnership",34063
2020,"Neuchâtel","Male","Widowed, partnership dissolved through death",1811
2020,"Neuchâtel","Male","Divorced, unmarried, partnership dissolved legally",7887
2020,"Neuchâtel","Female","Single",37481
2020,"Neuchâtel","Female","Married, in a registered partnership",33596
2020,"Neuchâtel","Female","Widowed, partnership dissolved through death",7651
2020,"Neuchâtel","Female","Divorced, unmarried, partnership dissolved legally",10981
2020,"Genève","Male","Single",125489
2020,"Genève","Male","Married, in a registered partnership",96774
2020,"Genève","Male","Widowed, partnership dissolved through death",3700
2020,"Genève","Male","Divorced, unmarried, partnership dissolved legally",19339
2020,"Genève","Female","Single",120192
2020,"Genève","Female","Married, in a registered partnership",94099
2020,"Genève","Female","Widowed, partnership dissolved through death",16501
2020,"Genève","Female","Divorced, unmarried, partnership dissolved legally",30213
2020,"Jura","Male","Single",17512
2020,"Jura","Male","Married, in a registered partnership",15148
2020,"Jura","Male","Widowed, partnership dissolved through death",824
2020,"Jura","Male","Divorced, unmarried, partnership dissolved legally",2988
2020,"Jura","Female","Single",14897
2020,"Jura","Female","Married, in a registered partnership",14986
2020,"Jura","Female","Widowed, partnership dissolved through death",3630
2020,"Jura","Female","Divorced, unmarried, partnership dissolved legally",3717
2021,"Switzerland","Male","Single",2108096
2021,"Switzerland","Male","Married, in a registered partnership",1821772
2021,"Switzerland","Male","Widowed, partnership dissolved through death",81400
2021,"Switzerland","Male","Divorced, unmarried, partnership dissolved legally",326519
2021,"Switzerland","Female","Single",1855603
2021,"Switzerland","Female","Married, in a registered partnership",1778193
2021,"Switzerland","Female","Widowed, partnership dissolved through death",322692
2021,"Switzerland","Female","Divorced, unmarried, partnership dissolved legally",443748
2021,"Zürich","Male","Single",395326
2021,"Zürich","Male","Married, in a registered partnership",315853
2021,"Zürich","Male","Widowed, partnership dissolved through death",13077
2021,"Zürich","Male","Divorced, unmarried, partnership dissolved legally",55907
2021,"Zürich","Female","Single",348307
2021,"Zürich","Female","Married, in a registered partnership",306392
2021,"Zürich","Female","Widowed, partnership dissolved through death",49241
2021,"Zürich","Female","Divorced, unmarried, partnership dissolved legally",80420
2021,"Bern / Berne","Male","Single",245008
2021,"Bern / Berne","Male","Married, in a registered partnership",218636
2021,"Bern / Berne","Male","Widowed, partnership dissolved through death",11156
2021,"Bern / Berne","Male","Divorced, unmarried, partnership dissolved legally",39711
2021,"Bern / Berne","Female","Single",219538
2021,"Bern / Berne","Female","Married, in a registered partnership",215538
2021,"Bern / Berne","Female","Widowed, partnership dissolved through death",43506
2021,"Bern / Berne","Female","Divorced, unmarried, partnership dissolved legally",54181
2021,"Luzern","Male","Single",103261
2021,"Luzern","Male","Married, in a registered partnership",89233
2021,"Luzern","Male","Widowed, partnership dissolved through death",3759
2021,"Luzern","Male","Divorced, unmarried, partnership dissolved legally",13202
2021,"Luzern","Female","Single",90503
2021,"Luzern","Female","Married, in a registered partnership",87552
2021,"Luzern","Female","Widowed, partnership dissolved through death",15056
2021,"Luzern","Female","Divorced, unmarried, partnership dissolved legally",17743
2021,"Uri","Male","Single",8833
2021,"Uri","Male","Married, in a registered partnership",8620
2021,"Uri","Male","Widowed, partnership dissolved through death",401
2021,"Uri","Male","Divorced, unmarried, partnership dissolved legally",990
2021,"Uri","Female","Single",7108
2021,"Uri","Female","Married, in a registered partnership",8382
2021,"Uri","Female","Widowed, partnership dissolved through death",1580
2021,"Uri","Female","Divorced, unmarried, partnership dissolved legally",1133
2021,"Schwyz","Male","Single",39451
2021,"Schwyz","Male","Married, in a registered partnership",36544
2021,"Schwyz","Male","Widowed, partnership dissolved through death",1508
2021,"Schwyz","Male","Divorced, unmarried, partnership dissolved legally",6553
2021,"Schwyz","Female","Single",31933
2021,"Schwyz","Female","Married, in a registered partnership",34917
2021,"Schwyz","Female","Widowed, partnership dissolved through death",5690
2021,"Schwyz","Female","Divorced, unmarried, partnership dissolved legally",7083
2021,"Obwalden","Male","Single",9178
2021,"Obwalden","Male","Married, in a registered partnership",8631
2021,"Obwalden","Male","Widowed, partnership dissolved through death",363
2021,"Obwalden","Male","Divorced, unmarried, partnership dissolved legally",1279
2021,"Obwalden","Female","Single",7752
2021,"Obwalden","Female","Married, in a registered partnership",8356
2021,"Obwalden","Female","Widowed, partnership dissolved through death",1469
2021,"Obwalden","Female","Divorced, unmarried, partnership dissolved legally",1403
2021,"Nidwalden","Male","Single",10521
2021,"Nidwalden","Male","Married, in a registered partnership",9716
2021,"Nidwalden","Male","Widowed, partnership dissolved through death",450
2021,"Nidwalden","Male","Divorced, unmarried, partnership dissolved legally",1790
2021,"Nidwalden","Female","Single",8414
2021,"Nidwalden","Female","Married, in a registered partnership",9422
2021,"Nidwalden","Female","Widowed, partnership dissolved through death",1625
2021,"Nidwalden","Female","Divorced, unmarried, partnership dissolved legally",1936
2021,"Glarus","Male","Single",9650
2021,"Glarus","Male","Married, in a registered partnership",9108
2021,"Glarus","Male","Widowed, partnership dissolved through death",431
2021,"Glarus","Male","Divorced, unmarried, partnership dissolved legally",1621
2021,"Glarus","Female","Single",7826
2021,"Glarus","Female","Married, in a registered partnership",8772
2021,"Glarus","Female","Widowed, partnership dissolved through death",1864
2021,"Glarus","Female","Divorced, unmarried, partnership dissolved legally",1914
2021,"Zug","Male","Single",30674
2021,"Zug","Male","Married, in a registered partnership",29301
